"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","Celltype"
6.55064333279353e-06,0.609968010298487,0.795,0.665,0.107037512057846,"2","NDUFB3","AVC"
6.85964321844425e-06,0.551965344204952,0.826,0.729,0.112086570189379,"2","PLXNA4","AVC"
7.09902545064703e-06,0.610376454067465,0.696,0.539,0.115998075863572,"2","ZNRF1","AVC"
7.22246234686987e-06,0.446573959703377,0.876,0.785,0.118015034747854,"2","CELF2","AVC"
7.62703956006323e-06,0.38735702780675,0.932,0.85,0.124625826411433,"2","NDUFA8","AVC"
7.63107311262686e-06,0.367567909680212,0.925,0.812,0.124691734660323,"2","NME2","AVC"
8.13867700864645e-06,0.81771927719101,0.342,0.184,0.132985982321283,"2","STC1","AVC"
8.69820464872123e-06,1.15994355742423,0.292,0.15,0.142128663960105,"2","LSMEM2","AVC"
1.10010088950757e-05,1.10554360221441,0.261,0.129,0.179756485345537,"2","PPARGC1B","AVC"
1.10341979577369e-05,0.433038116809035,0.851,0.723,0.180298794629421,"2","PRKAR2B","AVC"
1.20286118986906e-05,0.642372076587705,0.584,0.42,0.196547518424604,"2","ITGA7","AVC"
1.2452469541084e-05,0.454706255755074,0.851,0.687,0.203473352301313,"2","STK26","AVC"
1.28852622336088e-05,0.324018767908734,0.963,0.9,0.210545184897168,"2","UBA52","AVC"
1.30649945048495e-05,0.410730314570604,0.925,0.77,0.213482010209242,"2","NDUFS6","AVC"
1.37547592660883e-05,0.338821275154593,0.944,0.903,0.224752766407883,"2","KLHDC3","AVC"
1.52710614157544e-05,0.873543629419525,0.416,0.271,0.249529143533426,"2","ADRB2","AVC"
1.54601711140287e-05,0.460740088450839,0.466,0.308,0.252619196003228,"2","LIN28A","AVC"
1.54914226978124e-05,0.388578205940436,0.932,0.863,0.253129846882254,"2","COX6A1","AVC"
1.69407558255673e-05,0.482924211896795,0.708,0.58,0.27681195018977,"2","EHBP1L1","AVC"
1.74436176130852e-05,0.5637621658092,0.733,0.597,0.285028711797813,"2","RNF14","AVC"
1.85578558391907e-05,0.335708237642367,0.963,0.859,0.303235364412377,"2","NEXN","AVC"
1.94119014702317e-05,0.450485278193301,0.745,0.57,0.317190470023587,"2","LMOD1","AVC"
1.99282391619786e-05,0.409016267454486,0.888,0.778,0.325627427906731,"2","CCNB1IP1","AVC"
2.36241743044363e-05,1.0016714040429,0.348,0.203,0.386019008134489,"2","GMPR","AVC"
2.46746559579554e-05,0.457973416677402,0.783,0.714,0.403183878352992,"2","RAB5A","AVC"
2.50762281407539e-05,0.333036204310315,0.913,0.847,0.409745567819919,"2","IMMT","AVC"
2.5471106088324e-05,0.636328877901641,0.416,0.254,0.416197873483214,"2","ICA1","AVC"
3.02893299359624e-05,0.417334159504222,0.87,0.725,0.494927651153626,"2","WDR41","AVC"
3.08557409165193e-05,0.355329550861016,0.95,0.878,0.504182806575926,"2","TIMM8B","AVC"
3.24348892983863e-05,0.780850179066103,0.516,0.372,0.529986091135633,"2","LZTFL1","AVC"
3.41095730029313e-05,0.697496165048374,0.528,0.36,0.557350422867897,"2","FRMD3","AVC"
3.47193227532943e-05,0.284402568269514,0.969,0.931,0.56731373378883,"2","MXRA7","AVC"
3.63524597506986e-05,0.465137040696978,0.627,0.442,0.593999192326414,"2","NOG","AVC"
